,user,text,favorite_count,retweet_count,created_at
0,elonmusk,@Teslarati @ResidentSponge Thanks on behalf of the Tesla team!,6161,212,2023-02-13 22:59:48+00:00
1,elonmusk,@andst7 Vanity Unfair has fallen so far (sigh). Please bring back Graydon Carter.,9229,324,2023-02-13 22:10:54+00:00
2,elonmusk,@pedrodias Agreed,1754,46,2023-02-13 22:07:43+00:00
3,elonmusk,@visegrad24 This dude is awesome,19559,368,2023-02-13 22:07:15+00:00
4,elonmusk,@MikhailaFuller @jordanbpeterson 😠,13570,400,2023-02-13 22:06:09+00:00
5,elonmusk,@Brian_J_Berger 🤣🤣 🎈🎈,1908,74,2023-02-13 22:04:38+00:00
6,elonmusk,@TheBabylonBee 🤣,4425,123,2023-02-13 22:03:32+00:00
7,elonmusk,@Anna_Giaritelli Immigrants from China &amp; other Asian countries have made incredible contributions to America,687,66,2023-02-13 22:02:58+00:00
8,elonmusk,"@Anna_Giaritelli I am very much in favor of hard-working people coming to America, but we can’t have de facto open borders with no screening. 

Meanwhile, our legal immigration system is super slow &amp; extremely difficult to navigate!",1064,162,2023-02-13 22:01:01+00:00
9,elonmusk,@sreemoytalukdar Fixing the recommendation algorithm is our current top priority. Twitter engineering has been working super hard on this. Proud of the team.,6657,229,2023-02-13 21:56:52+00:00
10,elonmusk,"Looking forward to Tesla Investor Day on March 1. 

By this, we mean the broadest definition of investor, as in the people &amp; life of Earth.

It will be a message of good hope &amp; positivity for the future.",57432,4719,2023-02-13 21:55:18+00:00
11,elonmusk,@cb_doge @daily_stardust Nice,991,71,2023-02-13 21:50:20+00:00
12,elonmusk,We will prioritize by number of likes times ease of implementation,17009,973,2023-02-13 21:47:04+00:00
13,elonmusk,What are your top requests for Twitter features &amp; bug fixes?,60445,5567,2023-02-13 21:45:16+00:00
14,elonmusk,@VincentCrypt46 I voted for Biden 😔,40855,1524,2023-02-13 21:39:23+00:00
15,elonmusk,@Rainmaker1973 Wow,7214,180,2023-02-13 21:26:41+00:00
16,elonmusk,@dogeofficialceo 🤣,6534,208,2023-02-13 21:20:13+00:00
17,elonmusk,@farzyness This is the highest Q1 Twitter usage ever and that is after most fake accounts have been suspended,60311,2969,2023-02-13 21:01:18+00:00
18,elonmusk,@farzyness 🤣,10786,236,2023-02-13 19:50:03+00:00
19,elonmusk,@cb_doge @daily_stardust True :),41630,698,2023-02-13 19:42:23+00:00
20,elonmusk,@GRDecter Dogecoin,115668,6031,2023-02-13 04:20:39+00:00
21,elonmusk,@SahilBloom True words lol,7504,274,2023-02-13 04:08:05+00:00
22,elonmusk,"Halftime Show Super Bowl LVII
https://t.co/i7jwjvyeOJ",108994,8747,2023-02-13 01:28:48+00:00
23,elonmusk,@DrEliDavid 😂,12990,478,2023-02-12 22:50:22+00:00
24,elonmusk,@teslaownersSV @RealDanODowd 🤣,7227,236,2023-02-12 22:44:00+00:00
25,elonmusk,@Ali_TeslaMY @DavidSacks Actual reality of lobbying is crazier than the movie!,15946,671,2023-02-12 22:43:42+00:00
26,elonmusk,@cb_doge Crazy that Starship is real!,7205,396,2023-02-12 22:41:47+00:00
27,elonmusk,Good soundtrack https://t.co/8Rw9mtssTI,14161,1123,2023-02-12 22:41:07+00:00
28,elonmusk,"@EvaFoxU @StationCDRKelly SpaceX commercial terminals, like other commercial products, are meant for private use, not military, but we have not exercised our right to turn them off.

We’re trying hard to do the right thing, where the “right thing” is an extremely difficult moral question.",6168,521,2023-02-12 22:37:25+00:00
29,elonmusk,"@cb_doge Hopefully, one day we will be the aliens visiting other worlds",87846,4059,2023-02-12 22:30:30+00:00
30,elonmusk,Starship orbital launch attempt soon! https://t.co/sjban6T4yA,87243,6791,2023-02-12 22:29:26+00:00
